sample	total_markers	markers_hit	frac_markers_hit	mean_marker_count
T1321A_11042015_Q2_Q3	81064	81064	1.000000	3928.180956
T1321A_24112006_D1_D2	81816	81816	1.000000	36120.913208
T1321B_11042015_Q2_Q3	72904	72904	1.000000	1916.612038
T1321B_24112006_D1_D2	75440	75440	1.000000	16007.296063
T1323A_1072015_Q2_Q3	73715	73715	1.000000	3437.679604
T1323A_14112006_D1_D2	72348	72348	1.000000	23455.475162
T1323A_30102007_D1_D2	84706	84706	1.000000	22222.349420
T1323B_1072015_Q2_Q3	68111	68111	1.000000	2373.386369
T1323B_14112006_D1_D2	75409	75409	1.000000	36861.483125
T1323B_30102007_D1_D2	86297	86297	1.000000	35769.944007
T1327A_13112006_D1_D2	74175	74175	1.000000	8819.019629
